"PK_CORP","PK_PSNALCUST","PK_PSN","PK_CUSTCL","SEALFLAG"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150420-F360-A02C-4E05-3ACA8006502C","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150617-5DA0-4010-CE05-3ACA80065010","20130726-A0D1-040A-49E6-3F373C6282CC","BEAC2760-1A86-11E3-A760-8A1F28EE552E","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150619-47C2-702E-6E05-3ACA8006502E","E7DDD410-F14C-11E3-A497-87799FC000BE","BEAC2760-1A86-11E3-A760-8A1F28EE552E","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-28DF-1017-8E05-3ACA80065017","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-0789-4007-EE05-3ACA80065007","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-07E4-D007-EE05-3ACA80065007","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-6FD2-C01B-AE05-3ACA8006501B","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-8784-5001-8E05-3ACA80065001","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150526-A345-C03D-8E05-3ACA8006503D","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150605-CC4F-C01A-6E05-3ACA8006501A","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150616-D606-F009-AE05-3ACA80065009","0F9FE600-F14D-11E3-A497-8B85B3C529ED","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150519-2DAC-9028-AE05-3ACA80065028","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150519-4CB8-102C-0E05-3ACA8006502C","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150601-9AB0-6024-2E05-3ACA80065024","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150714-8183-2039-4E05-3ACA80065039","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150626-0C42-E004-8E05-3ACA80065004","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150727-4A70-1014-0E05-3ACA80065014","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150629-45E4-8026-EE05-3ACA80065026","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150811-3B7F-6033-EE05-3ACA80065033","20130726-D697-44BF-099D-E8EC0811BC7C","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150922-1CD7-D012-AE05-3ACA80065012","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20151103-6218-103A-4E05-3ACA8006503A","20130726-D697-44BF-099D-E8EC0811BC7C","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20160401-FE9F-2013-6E05-3ACA80065013","20130726-6A16-24FD-CB90-08F328E6B3B2","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20160314-405A-A03F-2E05-3ACA8006503F","20130726-6A16-24FD-CB90-08F328E6B3B2","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20160309-D964-4003-AE05-3ACA80065003","20130724-A1DB-84F1-C8E7-5A73F1CF83B9","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20160923-CA33-C014-EE05-3ACA80065014","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20170316-A501-B02F-AE05-3ACA8006502F","9EAA1290-CDDD-11E4-B038-A40DE4F49104","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
