PK_CUSTVISIT_H,PK_CUST,PK_CORP,VDATE,PK_USER
20170207-5CE3-1018-CE05-3ACA80065018,20150301-B83A-F00C-4E05-3ACA8006500C,26F79860-1A85-11E3-9860-D2A88FA7BD89,2017-02-07 09:09:53,E7E04510-F14C-11E3-A497-BB0E899E2EBC
20170209-F321-B017-0E05-3ACA80065017,20150519-4CB8-102C-0E05-3ACA8006502C,26F79860-1A85-11E3-9860-D2A88FA7BD89,2017-02-09 08:36:26,E7E04510-F14C-11E3-A497-BB0E899E2EBC
20170209-131A-402A-4E05-3ACA8006502A,20150301-B83A-F00C-4E05-3ACA8006500C,26F79860-1A85-11E3-9860-D2A88FA7BD89,2017-02-09 08:52:13,E7E04510-F14C-11E3-A497-BB0E899E2EBC
20170210-5F3C-0015-2E05-3ACA80065015,20150301-B83A-F00C-4E05-3ACA8006500C,26F79860-1A85-11E3-9860-D2A88FA7BD89,2017-02-10 08:44:31,E7E04510-F14C-11E3-A497-BB0E899E2EBC
20170214-2EFC-9023-4E05-3ACA80065023,20150301-B83A-F00C-4E05-3ACA8006500C,26F79860-1A85-11E3-9860-D2A88FA7BD89,2017-02-14 09:09:41,E7E04510-F14C-11E3-A497-BB0E899E2EBC
